Reference, Value, Footprint, Datasheet, LCSC, LCSC URL, MPN, SOURCE
"Q1","PN2222A","TO_SOT_Packages_THT:TO-92_Molded_Wide","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF","C118536","https://lcsc.com/product-detail/Bipolar-Transistors-BJT_ST-Semtech-2N2222A_C118536.html","",""
"R7","R 4.7K","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C120071","https://lcsc.com/product-detail/Through-Hole-Resistors_CCO-Chian-Chia-Elec-CF1-4W-4-7K-5-T52_C120071.html","",""
"R8","R 4.7K","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C120071","https://lcsc.com/product-detail/Through-Hole-Resistors_CCO-Chian-Chia-Elec-CF1-4W-4-7K-5-T52_C120071.html","",""
"R9","R 4.7K","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C120071","https://lcsc.com/product-detail/Through-Hole-Resistors_CCO-Chian-Chia-Elec-CF1-4W-4-7K-5-T52_C120071.html","",""
"R6","R 4.7K","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C120071","https://lcsc.com/product-detail/Through-Hole-Resistors_CCO-Chian-Chia-Elec-CF1-4W-4-7K-5-T52_C120071.html","",""
"R3","R 4.7K","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C120071","https://lcsc.com/product-detail/Through-Hole-Resistors_CCO-Chian-Chia-Elec-CF1-4W-4-7K-5-T52_C120071.html","",""
"R12","68R","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C385542","https://lcsc.com/product-detail/Through-Hole-Resistors_TyoHM-RN1-2WS68-FT-BA1_C385542.html","",""
"R13","68R","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C385542","https://lcsc.com/product-detail/Through-Hole-Resistors_TyoHM-RN1-2WS68-FT-BA1_C385542.html","",""
"R10","R 4.7K","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C120071","https://lcsc.com/product-detail/Through-Hole-Resistors_CCO-Chian-Chia-Elec-CF1-4W-4-7K-5-T52_C120071.html","",""
"R1","R 4.7K","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C120071","https://lcsc.com/product-detail/Through-Hole-Resistors_CCO-Chian-Chia-Elec-CF1-4W-4-7K-5-T52_C120071.html","",""
"R2","R 4.7K","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C120071","https://lcsc.com/product-detail/Through-Hole-Resistors_CCO-Chian-Chia-Elec-CF1-4W-4-7K-5-T52_C120071.html","",""
"J6","Conn_01x04_Female","Oddities:Dummy_Empty","~","C2718488","https://lcsc.com/product-detail/Female-Headers_BOOMELE-Boom-Precision-Elec-C2718488_C2718488.html","",""
"R15","33R","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C120071","https://lcsc.com/product-detail/Through-Hole-Resistors_CCO-Chian-Chia-Elec-CF1-4W-4-7K-5-T52_C120071.html","",""
"D2","LED","footprints:LED_D3.0mm","~"
"R14","33R","Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","C120071","https://lcsc.com/product-detail/Through-Hole-Resistors_CCO-Chian-Chia-Elec-CF1-4W-4-7K-5-T52_C120071.html","",""
"D1","LED","footprints:LED_D3.0mm","~"
